J,h,val,err,,,
1.169614169,0.854982802,0.206604056,0.000623808,,,
1.169524228,0.855048554,0.206637555,0.000624101,,,
1.169434286,0.855114316,0.206672931,0.000624383,,,
1.169344345,0.855180088,0.20671757,0.000624394,,,
1.169254404,0.85524587,0.206756467,0.000623861,,,
1.169164463,0.855311662,0.206799884,0.000623987,,,
1.169074521,0.855377465,0.206837599,0.000623588,,,
1.16898458,0.855443277,0.206878461,0.000623711,,,
1.168894639,0.8555091,0.206919489,0.000623693,,,
1.168804698,0.855574932,0.206961454,0.000623787,,,
1.168714756,0.855640775,0.207005719,0.000623272,,,
1.168624815,0.855706628,0.207045115,0.000623443,,,
1.168534874,0.855772491,0.207088093,0.000623227,,,
1.168444933,0.855838364,0.207129107,0.000623309,,,
1.168354991,0.855904248,0.207171857,0.000623671,,,
1.16826505,0.855970141,0.207207332,0.000623932,,,
1.168175109,0.856036045,0.20724401,0.000624143,,,
1.168085167,0.856101959,0.207282109,0.000624063,,,
1.167995226,0.856167883,0.207319125,0.000623734,,,
1.167905285,0.856233817,0.207362771,0.000624192,,,
1.167815344,0.856299761,0.207407244,0.00062468,,,
1.167725402,0.856365716,0.207450018,0.000624813,,,
1.167635461,0.85643168,0.207491555,0.000625067,,,
1.16754552,0.856497655,0.207526998,0.000625043,,,
1.167455579,0.85656364,0.207567545,0.000625226,,,
1.167365637,0.856629635,0.207610613,0.000625289,,,
1.167275696,0.85669564,0.207650579,0.000626127,,,
1.167185755,0.856761656,0.207687427,0.000625953,,,
1.167095814,0.856827682,0.207731998,0.000626565,,,
1.167005872,0.856893717,0.207773496,0.000626458,,,
1.166915931,0.856959763,0.207811092,0.000626575,,,
1.16682599,0.857025819,0.207851713,0.000626776,,,
1.166736048,0.857091886,0.207894077,0.000627176,,,
1.166646107,0.857157962,0.207934302,0.000627061,,,
1.166556166,0.857224049,0.207972158,0.00062708,,,
1.166466225,0.857290146,0.208009506,0.000627126,,,
1.166376283,0.857356253,0.208043092,0.000627067,,,
