1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,
3.171248373,0.652375033,16.73291107,2.045294,nan,nan,111,0.009218109,0.616983205,nan,nan,nan,nan,nan,55.5
2.75851049,0.668974022,16.35835686,2.0222733,nan,nan,110,0.009343894,0.611403055,nan,nan,nan,nan,nan,55
2.39060457,0.685995355,16.11129342,2.0069437,nan,nan,109,0.009429523,0.607687145,nan,nan,nan,nan,nan,54.5
2.062980868,0.703449778,16.00340652,2.0002127,nan,nan,109,0.009467605,0.606055611,nan,nan,nan,nan,nan,54.5
1.771537563,0.72134831,16.05310505,2.0033164,nan,nan,109,0.009450009,0.606808005,nan,nan,nan,nan,nan,54.5
1.512577298,0.739702251,16.28851766,2.017952,nan,nan,109.5,0.009367881,0.610355632,nan,nan,nan,nan,nan,54.75
1.282767906,0.758523188,16.75241749,2.0464861,nan,nan,111,0.009211687,0.61727222,nan,nan,nan,nan,nan,55.5
1.07910692,0.777823004,17.51062486,2.092285,nan,nan,113,0.008971319,0.628373554,nan,nan,nan,nan,nan,56.5
0.898889504,0.797613884,18.66701689,2.1602669,nan,nan,116,0.008636251,0.644852005,nan,nan,nan,nan,nan,58
0.739679479,0.817908321,20.3918834,2.2578688,nan,nan,120,0.00819579,0.668510432,nan,nan,nan,nan,nan,60
0.599283141,0.838719129,22.97932666,2.3968377,nan,nan,126,0.007639431,0.702195778,nan,nan,nan,nan,nan,63
0.475725611,0.860059446,26.97399631,2.5968246,nan,nan,135,0.006957367,0.750671869,nan,nan,nan,nan,nan,67.5
0.367229467,0.881942744,33.48422518,2.893278,nan,nan,148,0.006141182,0.822530943,nan,nan,nan,nan,nan,74
0.27219544,0.90438284,45.08276538,3.357185,nan,nan,168,0.005184798,0.934979969,nan,nan,nan,nan,nan,84
0.189184978,0.9273939,69.03286252,4.1543,nan,nan,203,0.004085726,1.128197178,nan,nan,nan,nan,nan,101.5
0.116904496,0.950990452,133.7284139,5.7820487,nan,nan,274,0.002846734,1.522756417,nan,nan,nan,nan,nan,137
0.054191152,0.975187393,460.3480364,10.727861,nan,nan,490,0.001478013,2.721600543,nan,nan,nan,nan,nan,245
0,1,inf,inf,nan,nan,0,0,0,nan,nan,nan,nan,nan,0
