1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
59.8559369,0.348096207,88.1848638,4.6953387,0.26671,0.091939,309,0.002431474,0.8576766,5.8799443,2.0269063,0.05316228,1.172026634,211
53.74803882,0.356953144,80.89845179,4.4971776,0.301339,0.10430121,322,0.002764343,0.8945238,6.0944624,2.1094508,0.04942952,0.999692577,180
48.24301181,0.366035438,74.27686562,4.309202,0.3158445,0.104796804,304,0.002846731,0.8457853,5.864988,1.9459955,0.050979222,0.946644643,170.5
43.28228716,0.37534882,68.25884429,4.1309457,0.36554363,0.1248669,329,0.003351088,0.91496557,6.237897,2.130818,0.047078779,0.803385781,144.5
38.81294161,0.384899172,62.78894086,3.961974,0.36039966,0.11753443,290,0.003215096,0.8074899,5.6572785,1.8449657,0.052780888,0.828514076,149
34.78715533,0.394692523,57.81697724,3.8018737,0.39748293,0.12884037,295,0.003548088,0.8205587,5.745315,1.8622901,0.044467874,0.642749493,115.5
31.16172186,0.404735054,53.29755194,3.6502585,0.45145705,0.15706736,318,0.004140216,0.88265353,6.015389,2.0928264,0.04518976,0.60212588,108
27.89760494,0.415033107,49.189596,3.5067642,0.4697271,0.15436701,298,0.004212706,0.8288851,5.77642,1.8983122,0.041787801,0.513881144,92.5
24.95953788,0.425593184,45.45597265,3.3710525,0.5117416,0.1713165,302,0.00461844,0.83974296,5.815429,1.94684,0.040079626,0.455464683,82
22.31566132,0.43642195,42.06311704,3.2428038,0.54416835,0.17855205,295,0.004871319,0.8196111,5.7223525,1.8776133,0.037571676,0.395095326,71
19.93719569,0.447526243,38.98071245,3.121727,0.59010136,0.19105512,295,0.005266496,0.82116705,5.7506437,1.8618664,0.034717154,0.3383249,60.5
17.7981451,0.458913072,36.18140022,3.0075486,0.64776367,0.21896723,306,0.005868832,0.8493702,5.8592486,1.980635,0.034621386,0.313162513,56
15.87502958,0.470589627,33.64052073,2.900022,0.67709124,0.20537639,287,0.005926597,0.797495,5.6944237,1.7272416,0.031944592,0.268658088,48
14.14664309,0.48256328,31.33588344,2.7989233,0.77460706,0.26671588,320,0.00709084,0.88879097,6.0682497,2.0894446,0.031822889,0.249299606,44.5
12.59383461,0.49484159,29.24756436,2.7040508,0.8098727,0.2685495,308,0.007308337,0.85500425,5.921701,1.9636047,0.029077546,0.212611843,38
11.19931037,0.507432308,27.35772979,2.6152308,0.809831,0.25185096,280,0.007105888,0.7776038,5.5387845,1.7225176,0.027677109,0.189295709,34
9.947454927,0.520343384,25.65048592,2.5323153,0.9560062,0.3272755,323,0.008748961,0.8976602,6.1305046,2.0986936,0.026308573,0.168706884,30
